Year,January,February,March,April,May,June,July,August,September,October,November,December,Dec–Jan–Feb,Mar–Apr–May,Jun–Jul–Aug,Sep–Oct–Nov,Meteorological year
2002,0.43,0.43,1.132,1.398,1.423,1.076,1.181,1.474,0.66,1.605,1.137,1.183,0.512,1.318,1.244,1.134,1.052
2003,1.052,0.861,0.764,1.003,0.832,1.536,0.975,0.446,0.717,0.934,0.819,1.283,1.032,0.866,0.986,0.823,0.927
2004,0.689,0.208,0.568,1.275,0.305,0.716,0.518,0.753,1.2,0.817,0.884,0.968,0.727,0.716,0.662,0.967,0.768
2005,1.124,0.907,0.943,1.263,1.226,1.691,0.713,1.317,0.441,1.427,1.003,0.455,1,1.144,1.24,0.957,1.085
2006,1.005,0.985,0.899,0.611,-0.141,0.811,1.115,1.25,0.644,0.989,0.623,1.08,0.815,0.456,1.059,0.752,0.77
2007,1.215,0.67,0.999,1.328,0.516,1.155,0.813,0.446,1.293,1.182,0.927,0.88,0.988,0.948,0.805,1.134,0.969
2008,0.353,0.429,0.311,0.644,0.248,0.415,1.222,1.329,0.663,1.288,0.99,0.674,0.554,0.401,0.989,0.98,0.731
2009,0.604,0.679,1.038,0.845,0.934,0.389,1.126,1.15,1.363,1.082,1.74,0.859,0.652,0.939,0.888,1.395,0.969
2010,1.005,1.553,1.524,1.069,1.173,1.295,1.203,0.667,1.329,1.006,0.667,0.877,1.139,1.255,1.055,1.001,1.112
2011,0.631,0.601,0.424,0.93,0.628,1.012,1.239,1.346,1.052,0.698,0.33,0.751,0.703,0.661,1.199,0.693,0.814
2012,0.321,0.583,0.697,1.241,0.979,1.373,0.908,1.177,1.504,1.658,1.084,1.527,0.552,0.972,1.153,1.415,1.023
2013,0.77,0.843,0.899,0.763,1.049,1.579,0.919,0.299,0.946,0.745,0.731,1.013,1.047,0.904,0.932,0.807,0.922
2014,0.961,0.87,0.663,1.083,0.99,1.433,1.033,1.239,1.752,1.595,1.203,1.021,0.948,0.912,1.235,1.517,1.153
2015,1.405,0.871,0.793,1.281,1.179,1.579,1.74,2.099,2.229,2.108,1.892,1.834,1.099,1.084,1.806,2.076,1.516
2016,1.287,1.858,1.437,2.118,1.252,0.694,1.695,1.707,1.101,1.321,1.18,1.23,1.66,1.602,1.365,1.201,1.457
2017,1.074,0.948,0.936,1.176,1.841,1.631,0.856,1.802,1.942,1.858,1.066,1.156,1.084,1.318,1.43,1.622,1.363
2018,1.024,0.567,1.275,1.364,1.229,0.841,1.367,0.656,1.548,1.612,1.135,1.038,0.916,1.289,0.955,1.432,1.148
2019,1.544,1.115,1.111,1.646,1.821,2.13,1.138,1.188,2.016,1.744,1.713,1.447,1.232,1.526,1.485,1.824,1.517
2020,1.271,0.941,1.25,1.171,0.853,1.787,1.599,1.651,2.347,2.079,1.332,1.23,1.22,1.091,1.679,1.919,1.477
2021,1.136,0.654,0.711,0.884,0.832,1.009,0.781,1.683,2.612,1.368,0.942,0.926,1.007,0.809,1.158,1.641,1.154
2022,1.05,1.028,0.768,1.198,0.338,0.717,2.122,0.856,0.854,1.22,0.034,0.722,1.001,0.768,1.232,0.703,0.926
